"filename", "language", "Dart", "JSON", "comment", "blank", "total"
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\azkar_bank_tr.json", "JSON", 0, 1668, 0, 0, 1668
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\hifz_bank_tr.json", "JSON", 0, 1392, 0, 0, 1392
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\quran_bank_tr.json", "JSON", 0, 2469, 0, 0, 2469
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\salah_bank_tr.json", "JSON", 0, 1062, 0, 0, 1062
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\scholars_bank_tr.json", "JSON", 0, 962, 0, 0, 962
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\seasons_bank_tr.json", "JSON", 0, 1022, 0, 0, 1022
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\banks\tasbih_bank_tr.json", "JSON", 0, 1762, 0, 0, 1762
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\azkar_tr.json", "JSON", 0, 280, 0, 1, 281
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tafseer_tr.json", "JSON", 0, 6238, 0, 0, 6238
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\data\tajweed_tr.json", "JSON", 0, 6238, 0, 0, 6238
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\ar-SA.json", "JSON", 0, 718, 0, 0, 718
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\assets\translations\tr-TR.json", "JSON", 0, 715, 0, 0, 715
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\main_layout.dart", "Dart", -3, 0, 0, 0, -3
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\language_switcher.dart", "Dart", 118, 0, 2, 9, 129
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\presentation\widgets\sila_bottom_bar.dart", "Dart", 25, 0, 1, 3, 29
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\services\tafsir_service.dart", "Dart", 4, 0, 0, 1, 5
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\core\utils\surah_utils.dart", "Dart", 13, 0, 2, 2, 17
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\data\repositories\azkar_repository.dart", "Dart", 4, 0, 1, 0, 5
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\presentation\pages\azkar_detail_page.dart", "Dart", 92, 0, 6, 7, 105
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\azkar\presentation\pages\azkar_page.dart", "Dart", 44, 0, 1, 2, 47
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\controllers\interactive_shadow_controller.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_home_page.dart", "Dart", 4, 0, 1, 1, 6
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_onboarding_page.dart", "Dart", 4, 0, 0, 0, 4
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\hifz_settings_page.dart", "Dart", 1, 0, 0, 0, 1
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\hifz\presentation\pages\methods\interactive_shadow_page.dart", "Dart", 6, 0, 0, 0, 6
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\pages\home_page.dart", "Dart", 13, 0, 0, 0, 13
"c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app\lib\features\home\presentation\widgets\daily_content_card.dart", "Dart", 3, 0, 0, 0, 3
