Date : 2026-03-24 14:03:59
Directory : c:\Users\Hp\OneDrive\Desktop\2026 plan\Sila\sila_app
Total : 64 files,  26080 codes, 42 comments, 145 blanks, all 26267 lines

Languages
+----------+------------+------------+------------+------------+------------+
| language | files      | code       | comment    | blank      | total      |
+----------+------------+------------+------------+------------+------------+
| JSON     |         12 |     24,526 |          0 |          1 |     24,527 |
| Dart     |         52 |      1,554 |         42 |        144 |      1,740 |
+----------+------------+------------+------------+------------+------------+

Directories
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                                          | files      | code       | comment    | blank      | total      |
+-----------------------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                                             |         64 |     26,080 |         42 |        145 |     26,267 |
| assets                                                                                                                                        |         12 |     24,526 |          0 |          1 |     24,527 |
| assets\banks                                                                                                                                  |          7 |     10,337 |          0 |          0 |     10,337 |
| assets\data                                                                                                                                   |          3 |     12,756 |          0 |          1 |     12,757 |
| assets\translations                                                                                                                           |          2 |      1,433 |          0 |          0 |      1,433 |
| lib                                                                                                                                           |         52 |      1,554 |         42 |        144 |      1,740 |
| lib (Files)                                                                                                                                   |          1 |          8 |          1 |          2 |         11 |
| lib\core                                                                                                                                      |          5 |        157 |          5 |         15 |        177 |
| lib\core\presentation                                                                                                                         |          3 |        140 |          3 |         12 |        155 |
| lib\core\presentation (Files)                                                                                                                 |          1 |         -3 |          0 |          0 |         -3 |
| lib\core\presentation\widgets                                                                                                                 |          2 |        143 |          3 |         12 |        158 |
| lib\core\services                                                                                                                             |          1 |          4 |          0 |          1 |          5 |
| lib\core\utils                                                                                                                                |          1 |         13 |          2 |          2 |         17 |
| lib\features                                                                                                                                  |         46 |      1,389 |         36 |        127 |      1,552 |
| lib\features\azkar                                                                                                                            |          3 |        140 |          8 |          9 |        157 |
| lib\features\azkar\data                                                                                                                       |          1 |          4 |          1 |          0 |          5 |
| lib\features\azkar\data\repositories                                                                                                          |          1 |          4 |          1 |          0 |          5 |
| lib\features\azkar\presentation                                                                                                               |          2 |        136 |          7 |          9 |        152 |
| lib\features\azkar\presentation\pages                                                                                                         |          2 |        136 |          7 |          9 |        152 |
| lib\features\hifz                                                                                                                             |          5 |         16 |          1 |          1 |         18 |
| lib\features\hifz\presentation                                                                                                                |          5 |         16 |          1 |          1 |         18 |
| lib\features\hifz\presentation\controllers                                                                                                    |          1 |          1 |          0 |          0 |          1 |
| lib\features\hifz\presentation\pages                                                                                                          |          4 |         15 |          1 |          1 |         17 |
| lib\features\hifz\presentation\pages (Files)                                                                                                  |          3 |          9 |          1 |          1 |         11 |
| lib\features\hifz\presentation\pages\methods                                                                                                  |          1 |          6 |          0 |          0 |          6 |
| lib\features\home                                                                                                                             |          4 |         98 |          0 |          5 |        103 |
| lib\features\home\presentation                                                                                                                |          4 |         98 |          0 |          5 |        103 |
| lib\features\home\presentation\pages                                                                                                          |          1 |         13 |          0 |          0 |         13 |
| lib\features\home\presentation\widgets                                                                                                        |          3 |         85 |          0 |          5 |         90 |
| lib\features\ibadah_tracker                                                                                                                   |          5 |        280 |          7 |         20 |        307 |
